Project Type,Severity of Problem,Warrantable/Non Warrantable,Type of ORC,Failure Date,Problem Definition (Step-1),Observations (Step-2),System,Sub System,Under Analysis (Step-3),Solution Identification & Release (Step-4),Solution Validation & ORC Closure (Step-5),Solution Implementation (Step-6),Conclusion and Tracking (Step 7),ORC Current Status,Date of ORC Creation,Date to reach at Step 2,Date to reach at Step 3,Date to reach at Step 4,Date to reach at Step 5,Date to reach at Step 6,Date to reach at Step 7,Time to Solution Release (days),Time to Close the ORC (days),Remarks
Regular,4,Non Warrantable,Track,27-Dec-2020 17:49,feed pump  is fouling with Hood,feed pump  is fouling with Hood,Engine,,The Feed Pump position is not changed with respect to Front cover mounitng in 24hp & 27hp. The fouling of Hood with Feed pump could be because of non-conformance in Hood or in Assembly and to be checked by Tractor Assy team for confirmation.,,Based on COE remarks Orc has been Closed,,,Step 7,30-Dec-2020 17:49,30-Dec-2020 17:50,31-Dec-2020 13:11,13-Jan-2021 16:23,19-Jan-2021 21:06,,04-Feb-2021 14:48,20,36,Based on COE remarks Orc has been Closed
Regular,5,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, AUX VALVE HOSES AND PIPES ARE EXCESS IN LENGTH (ALL PIPES AND HOSES)",NA,Hydraulic,HYDRAULIC LINES-FD0310,IN DRAWING HOSE LENGTH WAS NOT AS PER 3D MODEL.,HOSE LENGTH CORRECTED IN DRAWING,As per COE comment hose length corrected in drwaing.Hence we are closing this ORC,,,Step 6,17-May-2021 23:42,18-May-2021 02:10,19-May-2021 13:00,28-May-2021 09:43,31-May-2021 11:48,17-Jun-2021 09:02,,14,,As per COE comment hose length corrected in drwaing.Hence we are closing this ORC
Regular,5,Warrantable,Track,27-Dec-2020 18:30,Oil leakage observed from brake drum drain plug LH &RH side after 100 cycles of RC Test on YNXT 28 HP Tractor,Oil leakage Observed From Brake Drum Drain Plugs Both LH & RH Sides,Transmission,OIL IMMERSED BRAKE-FD0210,"There is no change in brake drum,brake assly,drain plug,oil qty,oil level in Jivo 28HP over Jivo 24HP.
Complete brake assly is carryover from Jivo 24HP.
There is no issue related to leakage from drain plug in Jivo 24HP.
So RC test leakage from drain plug may be due to less torquing of drain plug or old drain plug fitment without precoated thread sealant.
New drain plug to be fitted and torque to be applied and leakage to be checked.",,Based on COE Remarks Orc has been closed - Carryover part,,,Step 7,28-Dec-2020 18:31,28-Dec-2020 18:31,31-Dec-2020 13:18,13-Jan-2021 12:56,18-Jan-2021 10:45,,23-Jan-2021 02:29,21,26,Based on COE Remarks Orc has been closed - Carryover part
Regular,6,,Track,23-Jan-2021 13:17,Battery tray base plate found in bend condition on TT  test tractor.,Battery tray base plate found in bend condition on TT  test tractor.,Frontal-System,,,,-,,,Obsolete,16-Feb-2021 13:19,16-Feb-2021 13:19,17-Feb-2021 19:00,,,,,,,"Based on COE remarks , Orc has been Obsoleted"
Regular,6,,Field,05-10-2020 12:00:00 AM,"Y-NXT 28 HP 4WD TRACTOR OBSERVED MORE VIBRATION ON STEERING, BONNET & FENDER .",ORC's seprated for Steering and fender aggregate. So obsolete this ORC.,Tractor-System,STEERING-FD060207,"Direction given by Gupta Sir to adopt Universal Joint to reduce vibration at steering. Needs to be transferred to Tractor System COE. It needs to be discussed with NVH team (Mr. Chavan)
Pl. remove comments from under analysis field",,-,,,Obsolete,07-Oct-2020 20:03,08-Oct-2020 01:42,08-Oct-2020 22:58,,,,,,,ORC's seprated for Steering and fender aggregate. So obsolete this ORC.
Regular,7,Warrantable,Field,13-10-2020 12:00:00 AM,TRANSMISSION OIL SEEPAGE OBSERVED FROM CLUTCH HOUSING AND SPEED HOUSING JOINT FACE.,Pls refer the attached photos - Oil seepage area,Transmission,,"?	Carry forwarded from current production tractor
?	As per CPH Concurrence, No scope to work on existing parts, Refer attached mail as per Engg. Review
?	Moreover, no issues in current production.
?	Hence, ORC to be closed",,"As per COE confirmation, ORC closed.",,,Step 7,15-Oct-2020 08:22,15-Oct-2020 13:54,15-Oct-2020 18:36,09-Nov-2020 18:28,30-Nov-2020 21:10,,02-Dec-2020 09:34,46,48,
Regular,4,Non Warrantable,Field,05-10-2020 12:00:00 AM,Y-NXT 28 HP TRACTOR AIR CLEANER SECONDARY ELEMENT LOOKS BULGING.,refer attached photo,Engine-Integration,AIR INTAKE SYSTEM-FD060102,"There is no uneven shape or bulging on filter element .The bulging is noticed only on the  secondary element outer mesh. It is not causing any assembly issue / performance issue. Air cleaner is same as current production Yuv NXT model, So this  is not to be considered as an ORC.",,"As per COE confirmation, ORC closed.",,,Step 7,07-Oct-2020 19:52,08-Oct-2020 01:37,08-Oct-2020 23:04,16-Oct-2020 14:35,19-Oct-2020 13:14,,21-Oct-2020 16:51,12,14,
Regular,5,Non Warrantable,Build,1-Oct-2020 12:46,Radiator hose from thermostat to radiator inlet fouling with fuel return line pipe and air cleaner.,Radiator hose from thermostat to radiator inlet fouling with fuel return line pipe and air cleaner.,Engine-Integration,COOLING SYSTEM-FD060104,"Issue is due to proto radiator assembly/hose. As per CAD lay out more than 12 mm gap observed, refer PPT attached.",,Found ok in plant tractor.,,,Step 7,19-Oct-2020 12:47,19-Oct-2020 12:48,19-Oct-2020 18:38,30-Oct-2020 18:07,02-Nov-2020 14:13,,03-Nov-2020 16:15,14,15,Found ok in plant tractor.
Regular,5,Warrantable,Build,1-Oct-2020 12:22,Difficult to insert the scuttle in LH side due to wiring harness fouling internally.,Difficult to insert the scuttle in LH side due to wiring harness fouling internally.,Electrical,,,,"As Per COE & VA, drawing was updated and parts under procurment. hence we are closing the ORC.",,,Step 6,19-Oct-2020 12:22,19-Oct-2020 12:23,19-Oct-2020 18:23,20-Oct-2020 11:40,07-Dec-2020 20:06,08-Dec-2020 14:16,,49,,"AAs Per COE & VA, drawing was updated and parts under procurment. hence we are closing the ORC."
Regular,6,Non Warrantable,Tear-Down,9-Feb-2021 10:25,"In ynxt 28 hp RC test tractor, during teardown we observed, RH side lower link mounting nut found in loosen condition. (Hand free movement)","In ynxt 28 hp RC test tractor, during teardown we observed, RH side lower link mounting nut found in loosen condition. (Hand free movement)",Hydraulic,POWER TRAIN ASSEMBLY,Thread loc to be added to avoid loosening.,,Based on COE  closure confirmation mail we are closing.,,,Step 7,10-Feb-2021 10:27,10-Feb-2021 10:27,10-Feb-2021 10:34,22-Feb-2021 21:54,01-Mar-2021 19:35,,11-Mar-2021 15:06,19,29,Based on COE  closure confirmation mail we are closing.
Regular,7,Non Warrantable,Field,15-02-2021 12:00:00 AM,"Y NXT 28 HP TESTED WITH CAT 1 STANDARD IMPLEMENT (SPAN 683MM AND MAST HEIGHT 460MM) AND MODIFIED LOWER LINK (32 MM CHECK CHAIN MOUNTING HOLE SHIFTED TRACTOR SIDE FROM EARLIER POSITION), OBSERVED THAT IMPLEMENT HAVING 12 TO 14"" SWAY EVEN THOUGH CHECK CHAIN FULLY TIGHTEN CONDITION.",WITH STANDARD CAT 1 IMPLEMENT SWAY ADJUSTMENT IS NOT POSSIBLE WITH MODIFIED CHECK CHAIN HOLE POSITION. REFER ATTACHED VIDEO AND PHOTOS.,Hydraulic,3-POINTS LINKAGE ASSY,The new hole added at the tractor is only applicable for CAT1N implements not suitable for CAT 1 implements.,,"As per COE confirmation, ORC closed.",,,Step 7,15-Feb-2021 20:19,16-Feb-2021 02:24,16-Feb-2021 15:35,22-Feb-2021 22:04,01-Mar-2021 20:01,,11-Mar-2021 12:39,14,24,
Regular,5,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, UNABLE TO FIT AUX PIPE RUBBER PAD DUE TO GAP NOT AVAILABLE IN BETWEEN PIPES.",NA,Hydraulic,HYDRAULIC LINES-FD0310,DUE TO CLAMPING RUBBER CLAMP IS SQUEEZING,PIPE ROUTING AND CLAMP DESIGN CHANGED,As per COE comment Pipe routing is changed.Hence we are closing this ORC,,,Step 6,17-May-2021 23:43,18-May-2021 02:12,19-May-2021 12:56,28-May-2021 10:11,15-Jun-2021 17:15,21-Jun-2021 12:23,,29,,As per COE comment Pipe routing is changed.Hence we are closing this ORC
Regular,7,,Field,13-10-2020 12:00:00 AM,CLUSTER RPM NEEDLE FLICKERING AND MALFUNCTIONING OBSERVED.,This issue observed in two tractors. Already ORC created. (ORC-YUD1-20-000377/001-G2). ORC obsolete,Electrical,,,,-,,,Obsolete,15-Oct-2020 08:21,15-Oct-2020 13:52,,,,,,,,
Regular,8,Warrantable,LAB,16-Dec-2020 12:28,Low range lever (L2F gear) jump out issue duirng Gear train endurance test,Jumpout issue observed,Transmission,,"Various trails conducted at SEL lab and there is no co-releation wrt either rpm or torque. Tested upto 580 kgm torque in ramp up and down condition. Slip observed at 1 condition out of 7 trails during ramp down (200 Kgm).
There is no change in the range section for 28 HP model only addition is 4WD. But 24 HP 4WD is under production. There is no single incidence of gear slip at customer end.
Also, there is some torque fluctuation issue observed in test rig which cannot be directly related to slip. This may be a incidence and to be monitored on large numbers.",,added 1.2mm Spacer in the Range Fork Assy and checked. ok,,,Step 7,21-Dec-2020 13:05,21-Dec-2020 13:05,23-Dec-2020 18:08,13-Jan-2021 17:26,18-Jan-2021 11:00,,22-Feb-2021 12:13,28,63,awaited for modification part
Regular,4,,Track,20-Jan-2021 16:9,Air cleaner mounting bracket with radiator  support plate rubber bush got damage on RC test track tractor.,,,,,,-,,,Obsolete,25-Jan-2021 16:09,25-Jan-2021 16:10,,,,,,,,ORC-YUD1-20-000420  Repeat Orc obsoluted
Regular,8,,Field,14-10-2020 12:00:00 AM,"* TRACTOR NOT GETTING OFF, EVEN AFTER REMOVING FOOT FROM CLUTCH PEDAL.* CLUTCH LINER MATERIAL FOUND IN INSIDE CLUTCH HOUSING.",Ist sample clutch stall test - 8000 cycles completed & 2nd sample will monitor further. ORC obsolete.,,,,,-,,,Obsolete,17-Oct-2020 08:34,17-Oct-2020 13:28,,,,,,,,Ist sample clutch stall test - 8000 cycles completed & 2nd sample will monitor further. ORC obsolete.
Regular,5,Non Warrantable,Track,27-Dec-2020 12:39,Fuel leakage observed from FIP return pipe after 160 Cycles completed on RC test track.,Fuel leakage observed from FIP return pipe after 160 Cycles completed on RC test track.,Engine,,Fuel sepage observed from the Banjo Copper Washer. Small hitting damage observed in both Fuel pipe and Banjo washer at same location. Change of both Pipe and Banjo will resolve the issue,,Based on COE Comments orc has been Closed - No Revalidation Parts Received,,,Step 7,25-Jan-2021 12:42,25-Jan-2021 12:44,25-Jan-2021 18:04,09-Feb-2021 08:43,15-Feb-2021 15:13,,16-Feb-2021 13:21,21,22,Based on COE Comments orc has been Closed - No Revalidation Parts Received
Regular,5,Non Warrantable,Track,26-Dec-2020 18:21,Radiator bottom hose is fouling with Hood after 100 cycles of RC Test on YNXT 28 HP Tractor,Radiator bottom hose is fouling with Hood,Engine-Integration,COOLING SYSTEM-FD060104,"Radiator assembled is proto type and hose stopper is not available. So, Hose insertion is not correct and leading to fouling.",,As per COE Comments - No issues Observed in Production Tractor - Since orc has been Closed,,,Step 7,28-Dec-2020 18:23,28-Dec-2020 18:24,31-Dec-2020 13:23,05-Jan-2021 18:21,06-Jan-2021 20:29,,11-Jan-2021 14:54,9,14,As per COE Comments - No issues Observed in Production Tractor - Since orc has been Closed
Regular,8,Non Warrantable,LAB,10-Dec-2020 16:46,Pressure pipe clamp found broken during Hyd. performance test at SEL.,Clamp strength need to check,Hydraulic,HYDRAULIC LINES-FD0310,"The issue of pipe breakage is not observed in any of the Y NXT variant from field and the pipe is common across YNXT variants. This issue is specific to SEL because RV is blown continuously to heat up the tractor. Special arrangement made and given for testing purpose, ORC need to be closed.",,Due to RV test  during blowong time clamp issue observed.  hence laearing this ORC,,,Step 7,11-Dec-2020 16:59,11-Dec-2020 16:59,15-Dec-2020 11:03,23-Dec-2020 10:18,01-Jan-2021 16:54,,06-Jan-2021 16:43,21,26,
Regular,3,Non Warrantable,Build,3-Mar-2021 11:3,Very less gap(3mm) between Scuttle and accelerator sensor at RH side.,Very less gap(3mm) between Scuttle and accelerator sensor at RH side.,Linkage-System,STEERING-FD060207,"Due to less packaging constraint, min gap was maintained. However no functional issue observed. As discussed and agreed new cost effective sensor with reduce size will resolve the issue. On this understanding pls close the ORC.",Reorientation of ACC Sensor on HSU Unit Bkt needs to be done by TS coe so that gap with Scuttle increases and also extra Nut which is welded on HSU is also avioded. This actions will be done in L2 release.,As per COE & VA Remark we are closing this ORC.,,,Step 7,04-Mar-2021 11:07,04-Mar-2021 11:08,04-Mar-2021 14:07,29-Mar-2021 21:39,29-Mar-2021 21:48,,07-Apr-2021 18:43,25,34,As per COE & VA Remark we are closing this ORC.
Regular,5,Warrantable,Tear-Down,8-Dec-2020 12:7,"In YNXT 28 hp hood bang test, hood bottom side fouling with semi chassis due to that heavy damage observed.","In YNXT 28 hp hood bang test, hood bottom side fouling with semi chassis due to that heavy damage observed.",Frontal-System,HOOD ASSEMBLY-FD0401,"Fouling observed of Hood due to increased envelope of Hood after Stooper pad wear & tear. Secondly Semi chasis front plate height 5mm increased, but no issues with same in regular production vehicle alos.",,Based on VA remarks we are closing this ORC.,,,Step 7,08-Dec-2020 12:08,08-Dec-2020 12:08,09-Dec-2020 16:21,19-Dec-2020 13:24,21-Dec-2020 20:34,,23-Dec-2020 16:57,13,15,Based on VA remarks we are closing this ORC.
Regular,7,Non Warrantable,Field,12-10-2020 12:00:00 AM,Y-NXT 28 HP 4WD TRACTOR OIL LEAKAGE OBSERVED FROM DROPBOX SHAFT OIL SEAL AREA.,Refer the attached photo in team centre,Transmission,,NA,,"As per COE confirmation, ORC closed.",,,Step 7,13-Oct-2020 14:51,14-Oct-2020 01:30,15-Oct-2020 14:05,09-Nov-2020 18:16,30-Nov-2020 21:14,,02-Dec-2020 09:30,48,50,
Regular,5,Warrantable,Build,1-Oct-2020 16:43,Unable to assemble the fuel tank bellow. It fouling with fuel tank mounting bracket.,Unable to assemble the fuel tank bellow. It fouling with fuel tank mounting bracket.,Frontal-System,SCUTTLE ASSEMBLY-FD0404,"No design issue, Please close the ORC. Same is validadated in MRV & plant also.",,As mentioned COE remarks. ORC is not repeated ORC. Right now based on COE comments ORC is closed.,,,Step 7,10-Oct-2020 16:43,10-Oct-2020 16:43,10-Oct-2020 17:37,24-Nov-2020 18:33,06-Dec-2020 15:55,,07-Dec-2020 10:14,57,58,
Regular,7,Non Warrantable,Track,23-Dec-2020 17:38,Fuel leakage observed from FIP return pipe,Fuel leakage observed from FIP return pipe,Engine,,"This fuel return pipe is production for last 3 years and there is no failure reported from field till date. Leakage observed from the joint where brazing is done,  informed to CDMM/Supplier to have a check point and this ORC to be treated as Incidence.",,Based on COE COmments Orc has Been Closed,,,Step 7,30-Dec-2020 17:40,30-Dec-2020 17:40,31-Dec-2020 13:14,13-Jan-2021 16:39,19-Jan-2021 20:14,,28-Jan-2021 17:25,20,29,Based on COE COmments Orc has Been Closed
Regular,5,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, LESS GAP OBSERVED BETWEEN AUX VALVE PIPES AND FUEL COCK.",NA,Hydraulic,HYDRAULIC LINES-FD0310,"Due to exceess hose length, hose having very less gap with fuel cock. Hose length reduced as per design.",Hose length updated in drawing as paer the 3D model,"As per design change, hose length reduced hence we are closing.",,,Step 6,17-May-2021 23:49,18-May-2021 02:21,19-May-2021 12:25,28-May-2021 09:29,31-May-2021 11:39,16-Jun-2021 16:27,,14,,As per design change hose length reduced hence we are closing.
Regular,5,Non Warrantable,Field,05-10-2020 12:00:00 AM,Y-NXT 28 HP 4WD TRACTOR FOOT ACCELERATOR PEDAL ROLL PIN BROKEN.,Foot accelerator hard to operate.,Linkage-System,,Rollpin diameter changed from 4 dia to 6 dia. Single rollpin changed to compound rollpin. Drawing released.,,BASED ON SEL LAB CLEARANCE REPORT ORC CLOSED. REFER ATTACHED REPORT.,,,Step 7,07-Oct-2020 19:56,08-Oct-2020 01:40,08-Oct-2020 23:00,12-Oct-2020 18:27,19-Oct-2020 13:59,,28-Jan-2021 21:24,12,113,
Regular,4,Warrantable,Build,1-Oct-2020 12:52,Chances of front Wiring harness (near temperature sensor) damage which is very closer to EGR pipe,Chances of front Wiring harness (near temperature sensor) damage which is very closer to EGR pipe,Electrical,,Wrong Clamp used. Corrected L Bracket used and found ok,,Wrong type of L Bracket used in Engine Assembly. Correct L Bracket used in plant tractor as per layout and found OK.,,,Step 7,19-Oct-2020 12:53,19-Oct-2020 12:53,19-Oct-2020 19:10,21-Oct-2020 20:45,23-Oct-2020 18:57,,03-Nov-2020 15:41,4,15,Wrong type of L Bracket used in Engine Assembly. Correct L Bracket used in plant tractor as per layout and found OK.
Regular,4,Warrantable,Build,1-Oct-2020 16:48,Electrical Air clog indicator available in E-bom but no provision in Wiring harness to connect with air clog indicator.,Electrical Air clog indicator available in E-bom but no provision in Wiring harness to connect with air clog indicator.,Electrical,,EBOM updated without 4WD switch. Provision for future use only.,,"As per COE & VA  EBOM is updated with Mechanical clog indicator, hence we are closing the ORC.",,,Step 7,10-Oct-2020 16:48,10-Oct-2020 16:48,10-Oct-2020 17:33,12-Oct-2020 10:11,29-Oct-2020 18:52,,03-Nov-2020 15:38,19,24,"As per COE & VA  EBOM is updated with Mechanical clog indicator, hence we are closing the ORC."
Regular,7,Non Warrantable,LAB,11-Nov-2020 12:46,During test at Tractor Front lifted condition; Suction vacuum observed more than specifications. (With 9 different test iterations),Suction Vacum more against spec.,Hydraulic,HYDRAULIC LINES-FD0310,"ENGINE HIGH IDLE INCRESED BY 200 RPM, DUE TO WHICH PUMP FLOW INCREASED UPTO 3 LPM,  SUCTION PRESSURE INCREASED DUE TO INCREASE IN FLOW.",MAM FILTER HEAD IS ADOPTED AND SUCTION PIPE DIA. INCREASED FROM 25.4 TO 31.8 TO ACCOMDATE THE EXCESS FLOW,modified parts test conducted suction vacuum meet the specification,,,Step 6,08-Dec-2020 12:53,08-Dec-2020 12:54,08-Dec-2020 22:31,16-Dec-2020 18:23,20-Dec-2020 19:15,23-Dec-2020 18:05,,12,,Modified parts test conducted test results ok.
Regular,7,Warrantable,Track,11-Nov-2020 18:22,Fuel leakage observed from fuel tank cap.,Fuel Leakage Observed From Fuel Tank Cap During TT Test,Frontal-System,FUEL TANK ASSEMBLY-FD0402,Multiple trails taken between New fuel cap & neck assembly. Design variation observed in manufacturing for Cap as well as neck.,,Orc Closed Based on COE Remarks - New Part Not Provided for Revalidation,,,Step 7,18-Nov-2020 18:23,18-Nov-2020 18:24,24-Nov-2020 12:20,04-Dec-2020 10:23,06-Dec-2020 15:41,,29-Jan-2021 15:19,18,72,Orc Closed Based on COE Remarks - New Part Not Provided for Revalidation
Regular,5,Non Warrantable,Build,7-Jan-2020 8:53,IDENTIFICATION MARK REQUIRED ON SPEED INNER CAM.,IDENTIFICATION MARK REQUIRED ON SPEED INNER CAM.,Transmission,,"As per Image attached in ORC, 'YN28' emboss given in Inner CAM 0065220085Y01 in drawing",,As per COE & VA identification mark given in latest drawing,,,Step 7,09-Sep-2020 21:24,10-Sep-2020 02:39,11-Sep-2020 08:54,28-Sep-2020 15:47,28-Sep-2020 19:48,,11-Nov-2020 18:35,19,63,As per COE & VA identification mark given in latest drawing
Regular,6,Non Warrantable,Field,13-10-2020 12:00:00 AM,EXHAUST MANIFOLD NUT LOOSENED AND FALLEN IN FIELD.,Pls refer the attached photos - Nut fallen in field during puddling application.,Engine,EXHAUST SYSTEM-FD060101,"1. Failure observed tractor was applied with 35 - 40 Nm
2.The exhaust stud nut has not loosened after completing 190 hrs ( ORC observed at 60 th hr) and the ORC can be closed as Incidence.",,"As per COE & VA confirmation, ORC closed.",,,Step 7,15-Oct-2020 08:24,15-Oct-2020 13:56,15-Oct-2020 18:35,07-Dec-2020 18:41,08-Dec-2020 13:23,,12-Dec-2020 15:01,54,58,
Regular,5,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, RH SIDE FENDER TO FOOT STEP MOUNTING BOLT HOLE MISS MATCH.",NA,Rear-System,FENDER ASSEMBLY-FD0407,Part non confiormance fender and floor assy existing production only ROPS is new.,,Based on COE Feedback with attached mail ORC is closed.,,,Step 7,17-May-2021 17:53,18-May-2021 01:59,19-May-2021 13:37,25-Jun-2021 13:48,25-Jun-2021 14:09,,15-Jul-2021 10:14,39,59,Based on COE Feedback with attached mail ORC is closed.
Regular,5,Warrantable,Track,24-Dec-2020 18:1,Fuel Leakage from Fuel Tank Cap after 20 cycles of RC Test on YNXT 28 HP Tractor,Fuel Leakage from Fuel Tank Cap - Photos Attached,Frontal-System,,Wrong part of cap used. Request team to replace the cap witrh recommended Chrome plated cap 007640828Y91 for this model.,,Repeated Orc - 000403 - Orc Closed,,,Step 7,28-Dec-2020 18:03,28-Dec-2020 18:04,31-Dec-2020 13:27,01-Jan-2021 14:49,01-Jan-2021 19:35,,11-Jan-2021 16:17,4,14,Repeated Orc - 000403 - Orc Closed
Regular,5,Warrantable,Build,1-Oct-2020 16:49,Rear tail lamp bottom screw fouling with lamp mounting bracket,Rear tail lamp bottom screw fouling with lamp mounting bracket,Electrical,,Lamp mounting hole in bracket has to be shifted by 5mm to avoid fouling,,"As per COE & VA, For Temp action Rubber pad can be used & Lamp mounting hole in bracket will be shifted by 5mm to avoid fouling, hence we are closing the ORC.",,,Step 7,10-Oct-2020 16:49,10-Oct-2020 16:49,10-Oct-2020 17:32,20-Oct-2020 11:28,30-Oct-2020 20:30,,03-Nov-2020 15:31,20,24,"As per COE & VA, For Temp action Rubber pad can be used & Lamp mounting hole in bracket will be shifted by 5mm to avoid fouling, hence we are closing the ORC."
Regular,6,,Track,23-Jan-2021 13:6,Diesel leakage observed from fuel tank drain plug,Diesel leakage observed from fuel tank drain plug,Frontal-System,,,,-,,,Obsolete,16-Feb-2021 13:07,16-Feb-2021 13:07,17-Feb-2021 19:10,,,,,,,"Based on COE remarks , Orc has been Obsoleted"
Regular,4,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, ROPS TOP LOOP CONNECTING LOCKPIN UNABLE TO INSERT (R PIN REQUIRED).",NA,Rear-System,ROPS ASSY,"No fitmment issue found, Cotter pin part of I\O procured ROPS not in BEA scope.",,Based on COE Feedback with attached mail ORC is closed.,,,Step 7,17-May-2021 23:55,18-May-2021 02:32,19-May-2021 12:03,25-Jun-2021 14:13,25-Jun-2021 14:16,,15-Jul-2021 10:31,39,59,Based on COE Feedback with attached mail ORC is closed.
Regular,5,Warrantable,Build,1-Oct-2020 12:49,Hood is fouling with LH side P&T lamp mounting bracket while closing,Hood is fouling with LH side P&T lamp mounting bracket while closing,Frontal-System,BRACKETORIES-FD0409,Issue observed due to material mis handling on 1 tractors. No issue in production tractors & design chnage also. Please close the ORC as discussed & agreed with BV team,,As per COE remarks ORC is closed.,,,Step 7,19-Oct-2020 12:51,19-Oct-2020 12:51,19-Oct-2020 19:07,24-Nov-2020 18:36,03-Dec-2020 19:51,,05-Dec-2020 14:03,45,47,
