Project Type,Severity of Problem,Warrantable/Non Warrantable,Type of ORC,Failure Date,Problem Definition (Step-1),Observations (Step-2),System,Sub System,Under Analysis (Step-3),Solution Identification & Release (Step-4),Solution Validation & ORC Closure (Step-5),Solution Implementation (Step-6),Conclusion and Tracking (Step 7),ORC Current Status,Date of ORC Creation,Date to reach at Step 2,Date to reach at Step 3,Date to reach at Step 4,Date to reach at Step 5,Date to reach at Step 6,Date to reach at Step 7,Time to Solution Release (days),Time to Close the ORC (days),Remarks
Regular,5,Non Warrantable,Track,26-Dec-2020 18:25,Air cleaner mounting bracket to radiator support plate rubber bush got damage after 100 cycles of RC Test on YNXT 28 HP Tractor,Radiator Top Mounting Bracket Rubber Bush got teared and coming From position - Photos Attached,Engine-Integration,AIR INTAKE SYSTEM-FD060102,"Old design bracket, rubber grommet fitted in tractor. Repeat ORC. To be linked with main ORC - ORC-YUD1-20-000247",,Based on COE Remarks - Orc has been Closed (No Final Parts assembled for validation ),,,Step 7,28-Dec-2020 18:28,28-Dec-2020 18:28,31-Dec-2020 13:22,05-Jan-2021 18:03,06-Jan-2021 20:00,,11-Jan-2021 15:26,9,14,Based on COE Remarks - Orc has been Closed (No Final Parts assembled for validation )
Regular,4,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, FENDER MOUNTING MIDDLE BOLT EXCESS IN LENGTH 55MM IN E-BOM (SPEC- 25MM LENGTH BOLT FITTED).",NA,Rear-System,FENDER ASSEMBLY-FD0407,"Fender and ROPS bolt length is 55mm, Fender and stiffner bolt length 25mm, Please fit according to the layout.",,Based on COE Feedback with attached mail ORC is closed.,,,Step 7,17-May-2021 17:51,18-May-2021 01:59,19-May-2021 13:38,25-Jun-2021 13:52,25-Jun-2021 14:13,,15-Jul-2021 10:28,39,59,Based on COE Feedback with attached mail ORC is closed.
Regular,5,Non Warrantable,Tear-Down,28-Dec-2020 18:17,"In 28hp field validation tractors, we observed propeller shaft guard mounting bolt fell down during testing  at front axle end (observed in Kumbakonam & Nashik tractors)","In 28hp field validation tractors, we observed propeller shaft guard mounting bolt fell down during testing  at front axle end (observed in Kumbakonam & Nashik tractors)",Rear-System,,Lock tight added.,,"In RC test tractor, Loctitte applied and found no loosening. so we are closing this ORC.",,,Step 7,29-Dec-2020 18:19,29-Dec-2020 18:20,30-Dec-2020 10:04,11-Jan-2021 17:58,13-Jan-2021 10:51,,05-Feb-2021 09:15,15,38,"In RC test tractor, Loctitte applied and found no loosening. so we are closing this ORC."
Regular,5,Warrantable,Track,27-Dec-2020 18:37,PTO lever adjustable pin lock nut got loosen after 150 cycles of RC Test on YNXT 28 HP Tractor,PTO Lever Linkage lock nut got loosen - Photo attached,Transmission,SHIFTER SYSTEM,"PTO lever adjustable nut is carryover part from existing 24HP.
There is no such issue observed either from field or earlier RC test of 24HP.
Issue might be related to tightening of the nut.
Nut to be tightened properly and loosening to be checked",,Based on COE Remarks Orc has been closed - Carryover part,,,Step 7,28-Dec-2020 18:39,28-Dec-2020 18:39,31-Dec-2020 13:16,13-Jan-2021 11:07,18-Jan-2021 11:32,,23-Jan-2021 02:28,21,26,Based on COE Remarks Orc has been closed - Carryover part
Regular,6,Non Warrantable,Field,12-10-2020 12:00:00 AM,Y-NXT 28 HP 4WD OIL LEAKAGE OBSERVED FROM BLOW-BY PIPE.,Refer the attached photo in team centre.,Engine,PCV SYSTEM,"Blowby Gases condenses in the blowby pipe, which is natural phenomenon.
Conitnous oil drops are not observed only droplets observed.
Hence requesting for closure",,"As per COE  confirmation, ORC closed.",,,Step 7,13-Oct-2020 14:59,14-Oct-2020 01:34,15-Oct-2020 14:10,08-Dec-2020 11:17,08-Dec-2020 12:45,,12-Dec-2020 14:59,56,60,
Regular,5,Non Warrantable,Track,26-Dec-2020 18:19,Battery base plate  nut got loosen in RH Side after 100 cycles of RC Test on YNXT 28 HP Tractor,Battery base plate  nut got loosen in RH Side,Rear-System,,Lock tight added.,,Based On COE Comments orc has been Closed,,,Step 7,28-Dec-2020 18:20,28-Dec-2020 18:20,31-Dec-2020 13:24,11-Jan-2021 18:00,13-Jan-2021 10:50,,28-Jan-2021 17:41,16,31,Based On COE Comments orc has been Closed
Regular,7,Non Warrantable,Track,18-Nov-2020 18:4,Front axle Oil leakage observed From Hub LH side,Front axle Oil leakage observed From Hub LH side,Transmission,,"This oil seal have been tested already and being in Production in JIVO245 since last 4 years, as of now No issue from Field testing tractors sold to customers.
> Moreover, TT testing was carried out for 28HP changes, in which 4WD axle is caerry over part from Current production under PVE ownership.
> LH side oil seal only leaked but RH side oil seal was ok throughout the testing which as per COE, is the confidence.
> After replacement of LH oil seal, testing carried out.
> Hence, as per COE confidence and discussion in Engg. review, ORC to be closed.",,Based on COE COmments orc has been Closed,,,Step 7,18-Nov-2020 18:06,18-Nov-2020 18:06,24-Nov-2020 12:29,07-Dec-2020 13:36,07-Dec-2020 21:32,,09-Dec-2020 15:49,19,21,Orc Closed
Regular,5,Non Warrantable,Tear-Down,9-Feb-2021 12:2,"In YNXT  28 hp RC test tractor, Torque loss observed in both LH & RH side semichasis mounting bolts.(Refer attached image ) (Applied torque 110 Nm with 638 loctite)","In YNXT  28 hp RC test tractor, Torque loss observed in both LH & RH side semichasis mounting bolts.(Refer attached image ) (Applied torque 110 Nm with 638 loctite)",Tractor-System,AXLE-FD060206,"1) As per specification, Torque of 110 -? 130 Nm applied along with Loctite 638, also confirmed by B&V Team.
2) However, as improvement, to increase the contact area, Flange bolt is replaced with Hex. Bolt and washer with diameter 33 mm from existing Flange bolt diameter of 25 mm.
3) Hence, this ORC will be closed.",,As per COE Feedback Hexgonal bolt and plain washer used and no torque loss observed in TT Tractor hence we are closing this ORC.,,,Step 7,11-Feb-2021 12:07,11-Feb-2021 12:08,11-Feb-2021 12:12,15-Feb-2021 11:24,17-Feb-2021 11:16,,24-Feb-2021 14:25,6,13,As per COE Feedback Hexgonal bolt and plain washer used and no torque loss observed in TT Tractor hence we are closing this ORC.
Regular,5,Non Warrantable,Tear-Down,9-Feb-2021 10:28,"In ynxt 28 hp RC test tractor, during teardown we observed, there is oil leakage from engine front cover nut.","In ynxt 28 hp RC test tractor, during teardown we observed, there is oil leakage from engine front cover nut.",Engine,,"Incorrect Copper washer was used, which is not a per E-Bom leading to oil leakage from the front cover nut. Assembly team has been infomed to add it as  a check point",,As per COE Remark(washer used - 006009551F1)/Feedback we are closing this ORC.,,,Step 7,10-Feb-2021 10:31,10-Feb-2021 10:31,10-Feb-2021 10:35,11-Feb-2021 12:42,17-Feb-2021 16:28,,24-Feb-2021 14:18,7,14,As per COE Remark(washer used - 006009551F1)/Feedback we are closing this ORC.
Regular,5,Warrantable,Build,1-Oct-2020 16:51,Due to non-availability of mounting provision for 4WD switch part not fitted. 4WD switch is  available in BOM),Due to non-availability of mounting provision for 4WD switch part not fitted. 4WD switch is  available in BOM),Electrical,,EBOM updated with mechanical indicator,,"As per COE & VA Ebom is updated without 4Wd switch, Provision for future use.",,,Step 7,10-Oct-2020 16:51,10-Oct-2020 16:52,10-Oct-2020 17:30,12-Oct-2020 10:10,30-Oct-2020 20:38,,03-Nov-2020 15:26,20,24,"As per COE & VA Ebom is updated without 4Wd switch, Provision for future use."
Regular,4,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, AUX VALVE TORQUE CHART AND ASSEMBLY SEQUENCE NOT AVAILABLE.",NA,Hydraulic,VALVES,Please refer installation manualn no. 0000003083IM,,As per COE comment torque chart & assembly sequence available in manual.Hence we are closing,,,Step 7,17-May-2021 23:53,18-May-2021 02:28,19-May-2021 12:10,02-Jun-2021 19:26,03-Jun-2021 11:13,,17-Jun-2021 09:11,17,31,As per COE comment torque chart & assembly sequence available in manual.Hence we are closing
Regular,5,Non Warrantable,Track,27-Dec-2020 18:11,Power cylinder to CTRA lock nut loosen in RH Side after 100 cycles of RC Test on YNXT 28 HP Tractor,Power cylinder to CTRA lock nut loosen in RH Side,Tractor-System,STEERING-FD060207,"1. This is a carry forward design from Yuvraj NXT 24 hp. No design changes done on this part for Yuvraj NXT 28 hp variant.
2. Re-tighten the nut & complete the RC Test.
3. After introduction of Swaraj type CTRA, this issue will be eliminated.
4. Hence, this ORC to be closed.",,As Per COE comments Orc Closed - No Design Changes ( need to check with CTRA of Swaraj),,,Step 7,28-Dec-2020 18:15,28-Dec-2020 18:15,31-Dec-2020 13:25,05-Jan-2021 13:01,06-Jan-2021 17:40,,11-Jan-2021 15:41,9,14,As Per COE comments Orc Closed - No Design Changes ( need to check with CTRA of Swaraj)
Regular,6,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, AUX VALVE HOSES ARE FOULING WITH FUEL TANK BOTTOM.",NA,Hydraulic,HYDRAULIC LINES-FD0310,HOSE LENGH WAS MORE COMPARED 3D MODEL,HOSE DRAWING UPDATED WITH CORRECTED LENGTH AND ORIENTATION,As per COE comment hose length is corrected in drawing.Hence we are closing this ORC,,,Step 6,17-May-2021 23:48,18-May-2021 02:19,19-May-2021 12:30,28-May-2021 09:54,31-May-2021 11:52,16-Jun-2021 16:36,,14,,As per COE comment hose length is corrected in drawing.Hence we are closing this ORC
Regular,4,,Track,20-Jan-2021 14:41,Hood beading came out from its position  on RC test track.,Hood Beading Came out From its Mounting Location (Pict Attached),Frontal-System,,,,-,,,Obsolete,25-Jan-2021 14:43,25-Jan-2021 14:43,28-Jan-2021 18:20,,,,,,,Based on COE remarks Orc has Been Closed
Regular,7,Non Warrantable,Tear-Down,5-Jul-2021 17:29,In YNXT Egovernor Hand accelerator cable got cut at 32723cycle against target of 1Lakh cycle.(1st sample SEL Endurance),NA,Linkage-System,,"Test is started without COE witness during lockdown period .  Hand accelerator test setup setting correction (FIP/Sensor & Final Stopper control ) done along with COE & SEL Team through video Call. 
After witness and Updation in Testing procedure, 1st and 2nd sample completed without any issue. Request to close the ORC.",,-,,,Step 5,13-Jul-2021 17:32,13-Jul-2021 17:33,13-Jul-2021 17:41,02-Aug-2021 18:45,02-Aug-2021 19:42,,,20,,ok
Regular,6,,Field,05-10-2020 12:00:00 AM,Y-NXT 28 HP 4WD TRACTOR OBSERVED MORE VIBRATION ON BONNET.,Repeat ORC-YUD1-20-000271. ORC Obsolete,Frontal-System,,,,-,,,Obsolete,24-Oct-2020 16:28,25-Oct-2020 13:32,26-Oct-2020 23:57,,,,,,,Repeat ORC-YUD1-20-000271. ORC Obsolete
Regular,7,Warrantable,Tear-Down,6-Jan-2021 14:29,"In Ynxt 28 hp transmission gear train endurance test, we observed 1). Difflock coupling all pins are broken. 2). Chip off observed observed in RH bull shaft & bull gear teeth. 3). Chip off observed in RH bevel gear","In Ynxt 28 hp transmission gear train endurance test, we observed 1). Difflock coupling all pins are broken. 2). Chip off observed observed in RH bull shaft & bull gear teeth. 3). Chip off observed in RH bevel gear.",Transmission,,,,"Based on VA remarks, we are closing this ORC",,,Step 7,08-Jan-2021 14:35,08-Jan-2021 14:36,09-Jan-2021 09:40,13-Jan-2021 10:52,04-Feb-2021 10:44,,05-Feb-2021 09:17,27,28,"Based on VA remarks, we are closing this ORC"
Regular,5,Non Warrantable,Track,23-Jan-2021 13:11,Oil seepage observed from engine oil drain plug on TT test tractor.,Oil seepage observed from engine oil drain plug on TT test tractor.,Engine,,"The seepage observed from the drain plug is because, new washer to be used after oil drain, which has not been followed.

 The present design in production from last 3 years and no issue has been reported from field.",,Based on COE Remarks Orc has Been Closed (No Service Done Inbetween Testing - As per COE Its Regular part),,,Step 7,16-Feb-2021 13:15,16-Feb-2021 13:15,17-Feb-2021 19:02,18-Feb-2021 19:13,24-Feb-2021 21:10,,01-Mar-2021 19:30,8,13,Based on COE Remarks Orc has Been Closed (No Service Done Inbetween Testing - As per COE Its Regular part)
Regular,5,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, PORT 1A REAR PIPES FOULING WITH PC & DC LEVER AND RANGE LEVER.",NA,Hydraulic,HYDRAULIC LINES-FD0310,CURRENT HOSE DESIGN IS FOULING WITH PC AND DC LEVER TO DUE TO EXCEE LENGTH,DESIGN CHANGED FROM HOSE TO PIPE,As per COE comment design is changed. Hence we are closing this ORC,,,Step 6,17-May-2021 23:41,18-May-2021 02:09,19-May-2021 13:07,28-May-2021 10:03,31-May-2021 11:54,16-Jun-2021 16:41,,14,,As per COE comment design is changed. Hence we are closing this ORC
Regular,5,Non Warrantable,Build,1-Oct-2020 16:53,Hand brake lever spring is fouling with steering column while engaging the hand brake.,Hand brake lever spring is fouling with steering column while engaging the hand brake.,Linkage-System,,As of now no issue reported rom plant. Pls close the ORC.,,"As per COE & VA, As of now no issue reported from plant. ORC, which is not percieved by customer and does not have adverse effect on aestheics, fit, function, performance and durability can be closed. Hence we are closing the ORC.",,,Step 7,10-Oct-2020 16:53,10-Oct-2020 16:53,10-Oct-2020 17:29,16-Oct-2020 12:04,19-Oct-2020 13:20,,03-Dec-2020 16:28,9,54,"As per COE & VA, As of now no issue reported from plant. ORC, which is not percieved by customer and does not have adverse effect on aestheics, fit, function, performance and durability can be closed. Hence we are closing the ORC."
Regular,4,,Tear-Down,28-Dec-2020 18:4,"In 28 hp field validation tractor, during teardown we observed panit peel off on both LH & RH fender console.","In 28 hp field validation tractor, during teardown we observed panit peel off on both LH & RH fender console.",Rear-System,,pl send to CDMM,,-,,,Obsolete,29-Dec-2020 18:05,29-Dec-2020 18:05,30-Dec-2020 09:55,,,,,,,As per COE confirmation ORC obsolete.
Regular,6,Non Warrantable,Build,1-Oct-2020 12:29,"Unabel to set the hand & foot accelerator in high idle, after high idle setting hand accelerator return to low idle","Unabel to set the hand & foot accelerator in high idle, after high idle setting hand accelerator return to low idle",Linkage-System,,"Root cause:-Excess FIP lever Travel
Linkages were designed for FIP lever input travel of 28+/- 5 deg. (33 Deg. Max). Whereas actual travel observed was 36.2 Deg.
Corrective action:- Interim – Hand accelerator lever Pin length increased from 23 to 38 mm.
With above change high idle was able to achieve in both Hand & Foot accelerator but some cases hand accelerator Pin fouls with foot accelerator intermediate Pivot
As permanent solution, linkages re-designed.CAD released.",,"As per COE & VA design has been updated, hence we are closing the ORC.",,,Step 7,19-Oct-2020 12:30,19-Oct-2020 12:30,19-Oct-2020 19:03,11-Nov-2020 15:21,30-Nov-2020 21:27,,03-Dec-2020 16:33,42,45,"As per COE & VA design has been updated, hence we are closing the ORC."
Regular,5,Warrantable,Build,1-Oct-2020 16:54,7 pole socket is fouling with tool box bottom clamp during assembly.,7 pole socket is fouling with tool box bottom clamp during assembly.,Electrical,,,,"As Per COE comment,  Touching of 7 pole socket bracket with harness clamp is not creating functional issues, hence we are closing the ORC. refer attached mail",,,Step 7,10-Oct-2020 16:54,10-Oct-2020 16:54,10-Oct-2020 17:27,16-Oct-2020 10:11,07-Dec-2020 19:24,,15-Dec-2020 10:17,58,66,"As Per COE comment,  Touching of 7 pole socket bracket with harness clamp is not creating functional issues, hence we are closing the ORC. refer attached mail."
Regular,6,Warrantable,Field,12-10-2020 12:00:00 AM,Y-NXT 28 HP 4WD - INSTRUMENT CLUSTER NEEDLE STUCK SOMETIMES AT HIGH IDLE RPM. IT SHOWS 2500 RPM AT HIGH THROTTLE INSTED OF 2750 eRPM.,Verified with PTO RPM and its coming as per specification. Issue with instrument cluster.,Electrical,,,,"As per COE & VA confirmation, ORC closed.",,,Step 7,13-Oct-2020 15:03,14-Oct-2020 01:37,15-Oct-2020 14:12,01-Dec-2020 16:57,07-Dec-2020 19:42,,12-Dec-2020 14:58,55,60,
Regular,6,Non Warrantable,Field,18-09-2020 12:00:00 AM,"Y-NXT 24 HP E-GOVERNING TRACTOR , DURING COLD STARTING WHITE SMOKE OBSERVED FROM 2000 RPM TO FULL THROTTLE.",REFER ATTACHED PHOTO,Engine,FUEL INJECTION SYSTEM-FD0111,White smoke of 24hp E-governor will similar to 24-hp mech governor,"1.	JIVO e Governor is only a improvement in functional performance (Governing) for filed requirement and not linked to the engine Fuel Pump.  
2.	Hence the white smoke characteristic will be observed similar to the current production JIVO 24 hp production.","As per COE & VA confirmation, ORC closed.",,,Step 7,21-Sep-2020 10:44,21-Sep-2020 15:29,22-Sep-2020 23:30,07-Dec-2020 18:25,08-Dec-2020 13:25,,12-Dec-2020 15:02,78,82,
Regular,4,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, AUX VALVE BRACKET MOUNTING BOLT EXCESS IN LENGTH 55MM IN E-BOM (SPEC - REQUIRED LENGTH IS 45MM FITTED).",NA,Hydraulic,,"Found wrong part no assembled in 3D model and same capatured in EBOM
Phantom updated with 45mm bolt part no against 55mm length",000020254E05  -   45mm length bolt identified and replaced in the Phantom.,As per COEfeedback  we are closing ORC,,,Step 7,17-May-2021 17:55,18-May-2021 02:01,19-May-2021 13:20,26-May-2021 10:43,26-May-2021 13:19,,09-Jun-2021 11:31,9,23,As per COEfeedback  we are closing ORC
Regular,6,,Field,12-07-2021 12:00:00 AM,"Y NXT 24 HP E GOV. TRACTOR:- DURING ROTAVATOR APPLICATION WHILE PRESSING INDIVIDUAL LHS BRAKE PEDAL, BRAKE PEDAL FOULING WITH ACCELERATOR CABLE DUE TO THIS RUBBING MARK OBSERVED ON CABLE. ALSO OPERATOR LEG IS FOULING WITH ACCELERATOR PEDAL SENSOR.",Refer attached photo & Video,Linkage-System,,,,-,,,Step 3,12-Jul-2021 14:11,13-Jul-2021 02:03,13-Jul-2021 16:58,,,,,,,
Regular,6,,Field,12-07-2021 12:00:00 AM,Y NXT 24 HP Electronic Governor Tractor - Boost mode switch 'ON' indication light visibility is not their during day time,Refer attached photo & Video,Electrical,,,,-,,,Step 3A,12-Jul-2021 14:10,13-Jul-2021 02:03,13-Jul-2021 17:00,,,,,,,Refer attached photo & Video
Regular,5,Warrantable,Tear-Down,8-Dec-2020 12:9,"In hood bang test 3rd sample ,hood stopper rubber pad found in damaged condition. (10k cycles completed)","In hood bang test 3rd sample ,hood stopper rubber pad found in damaged condition. (10k cycles completed)",Frontal-System,HOOD ASSEMBLY-FD0401,Stopper pad to be replaced after 2190 cycles based on 2 yrs of sheetmeatl warrenty life.,,Based on VA remarks we are closing this ORC,,,Step 7,08-Dec-2020 12:11,08-Dec-2020 12:11,09-Dec-2020 16:21,19-Dec-2020 13:20,21-Dec-2020 20:26,,23-Dec-2020 17:19,13,15,
Regular,6,,Field,05-10-2020 12:00:00 AM,"Y-NXT 28 HP IN STATIC CONDITION, ENGINE WHITE SMOCK OBSERVED ABOVE THE 2500 RPM.",refer attached video,Engine,FUEL INJECTION SYSTEM-FD0111,"FIP & HPP retained similar to 24 HP. White smoke will be observed similar to 24 HP. 
Need to check the white smoke in similar fashion of 24 HP.
25 Engine to be build and White smoke to be evaluated for closure @ Rajkot Plant.
Same has been discussed with Quality & COE Head on platform review.",,-,,,Slave ORC,07-Oct-2020 19:51,08-Oct-2020 01:37,08-Oct-2020 23:05,08-Dec-2020 10:34,08-Dec-2020 13:22,,12-Dec-2020 15:00,62,66,
Regular,5,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, PRESSURE PIPE AUX VALVE TO VTU REAR SIDE PIPE REWORKED AND FITTED DUE TO PORT ORIENTATION DIFFERENT.",NA,Hydraulic,HYDRAULIC LINES-FD0310,AUX. VALVE INLET PORT LOCATION CHANGED,DUE PORT LOCATION CHANGE PIPE ROUTING UPDATED AND CAD INITATED,As per COE comment inlet port location is changed. Hence we are closing this ORC,,,Step 6,17-May-2021 23:57,18-May-2021 02:35,19-May-2021 11:51,28-May-2021 10:20,31-May-2021 11:58,16-Jun-2021 16:48,,14,,As per COE comment inlet port location is changed. Hence we are closing this ORC
Regular,5,,Track,23-Jan-2021 14:34,Diesel seepage observed from fuel return line pipe joint.,,,,,,-,,,Obsolete,10-Feb-2021 14:36,10-Feb-2021 14:36,,,,,,,,"Repeat Orc ORC-YUD1-21-000434 , hence Its Obsoleted"
Regular,5,Non Warrantable,Build,1-Oct-2020 16:55,Leakage observed between fuel filter & fuel cock. Gap observed between banjo and fuel cock after tightening.,Leakage observed between fuel filter & fuel cock. Gap observed between banjo and fuel cock after tightening.,Engine-Integration,FUEL SYSTEM-FD060103,"In  tractor older revision Adaptor (34 mm)  fitted with addition copper washers. Latest Revision parts (39 mm length)  are fitted in one tractor and no leakages observed. So, issue is due to part non conformance - usage of old revision adapter.Refer attachment for details. For improving design, Fuel tap design is being updated and can be linked with ORC-YUD1-20-000402/001",,Close based on COE Remarks Need Improved part for Validation,,,Slave ORC,10-Oct-2020 16:56,10-Oct-2020 16:56,10-Oct-2020 17:24,08-Dec-2020 19:03,14-Dec-2020 14:33,,22-Dec-2020 12:45,65,73,"This ORC is linked with ORC No.  ORC-YUD1-20-000402. For which both coe  Engine Integration and BEA is working. This ORC is also reported in Plant and is critical ORC. Hence this ORC-YUD1-20-000371 to be made obsolute. (More so this orc is concered with old stock, which was interim trial). COE to confirm details for making is obsolete."
Regular,5,Non Warrantable,Build,16-04-2021 12:00:00 AM,"IN YUV NXT EXPORT TRACTOR BUILD, ROPS TOP LOOP MOUNTING BOLT TORQUE REQUIRED",NA,Rear-System,ROPS ASSY,"ROPS under I/O scope, for bulit in MRV please use hand tight only as there is nylock nut in other side.",,Based on COE Feedback with attached mail ORC is closed.,,,Step 7,17-May-2021 23:56,18-May-2021 02:33,19-May-2021 11:58,25-Jun-2021 13:38,25-Jun-2021 13:51,,15-Jul-2021 10:17,39,59,Based on COE Feedback with attached mail ORC is closed.
Regular,6,,Field,05-10-2020 12:00:00 AM,Y-NXT 28 HP 4WD TRACTOR OBSERVED MORE VIBRATION ON STEERING.,Repeat ORC. Chekc original ORC-YUD1-20-000214. ORC Obsolete,Frontal-System,,,,-,,,Obsolete,24-Oct-2020 16:29,25-Oct-2020 13:33,26-Oct-2020 23:48,,,,,,,Repeat ORC. Chekc original ORC-YUD1-20-000214. ORC Obsolete
Regular,4,Warrantable,Tear-Down,9-Feb-2021 10:2,"In ynxt 28 hp RC test tractor, during teardown we observed  RH side hood stopper rubber pad fell down.","In ynxt 28 hp RC test tractor, during teardown we observed  RH side hood stopper rubber pad fell down.",Frontal-System,HOOD ASSEMBLY-FD0401,"No design issues, issue observed due to fitemnt or process issue",,As per COE&VA Feedback with Attached Mail we are closing this ORC.,,,Step 7,10-Feb-2021 10:09,10-Feb-2021 10:09,10-Feb-2021 10:36,22-Feb-2021 18:05,01-Mar-2021 16:59,,07-Apr-2021 18:49,19,56,As per COE&VA Feedback with Attached Mail we are closing this ORC.
Regular,5,Warrantable,Tear-Down,8-Dec-2020 12:14,"In YNXT 28 hp field validation tractor, during teardown we observed crack on both the side of fender assembly near to the P&T lamp.","In YNXT 28 hp field validation tractor, during teardown we observed crack on both the side of fender assembly near to the P&T lamp.",Rear-System,FENDER ASSEMBLY-FD0407,"lack of reinf at the mounting area caused the cracking, Reinf was added.",Reinforcement added at the mounting area adn tested - no crack found on test- the same to be implemented in design,Based on VAremarks we are closing this ORC.,,,Step 6,08-Dec-2020 12:15,08-Dec-2020 12:15,09-Dec-2020 16:20,22-Dec-2020 11:07,01-Jan-2021 16:58,25-Jan-2021 14:46,,24,,Based on VAremarks we are closing this ORC.
